offer_id,offer_type,property_type,location_district,location_city,location_area,agency,office_city
JuzuxPMP-Xr,sale,"3-room apartment","okres Kysucké Nové Mesto","Kysucké Nové Mesto",Sídlisko,"Realitná kancelária DOM",Žilina
JuDXnrUS-p1,sale,"holiday apartment","okres Ružomberok",Ružomberok,Hrabovo,"Reality Alpia",Martin
JuQfDarw60S,rent,"2-room apartment","okres Martin",Martin,Podháj,"ALT REAL, s.r.o.",Martin
Jux_7MHZ0xE,sale,"1-room apartment","okres Liptovský Mikuláš","Liptovský Mikuláš",Stošice,"DVOŘÁK & PARTNERS s. r. o.","Banská Bystrica"
JuUTD1Lj0lr,sale,"3-room apartment","okres Žilina",Žilina,"Staré mesto","Realitná kancelária RED, s.r.o.",Žilina
JuPs0jZ4Upm,rent,"3-room apartment","okres Kysucké Nové Mesto","Kysucké Nové Mesto",Nábrežie,"Realitné kancelárie SR",Bratislava
JuZ2eoxoyai,rent,"3-room apartment","okres Liptovský Mikuláš","Partizánska Ľupča","Partizánska Ľupča",NULL,NULL
JuuvbPIMl4t,sale,"4-room apartment","okres Žilina",Žilina,Solinky,"ACTIVE - Reality, s. r. o.",Žilina
Ju7DJIriKhh,sale,"4-room apartment","okres Kysucké Nové Mesto","Kysucké Nové Mesto",Stred,"Safe reality s. r. o.",Žilina
Ju2ogwd19a4,sale,"3-room apartment","okres Martin",Martin,Záturčie,"Like Reality s.r.o.","Považská Bystrica"
JuVooxZWg4s,sale,"4-room apartment","okres Žilina",Žilina,"Staré mesto","ŽILINAREAL, s.r.o.",Žilina
JuuvunHgeuI,sale,"2-room apartment","okres Tvrdošín",Tvrdošín,Medvedzie,"RE/MAX Slovakia",Bratislava
JuhpxD8Q4V6,sale,"3-room apartment","okres Martin",Martin,Jahodníky,"CANGURU s.r.o.","Rajecké Teplice"
Jun8Wp9H-1m,sale,"3-room apartment","okres Liptovský Mikuláš","Liptovský Hrádok",Celiny,"RK SPIRIT s.r.o.","Liptovský Mikuláš"
JuKMOepiUjn,sale,"1-room apartment","okres Žilina",Žilina,Vlčince,"Safe reality s. r. o.",Žilina
JuyIru5Z-bn,sale,"2-room apartment","okres Liptovský Mikuláš","Liptovský Mikuláš","Staré mesto","KA Real","Banská Bystrica"
JurHWDFucoi,sale,"2-room apartment","okres Liptovský Mikuláš","Liptovský Mikuláš",Stošice,"HALO reality, s.r.o.",Prievidza
JuuLiOVYceV,sale,"3-room apartment","okres Čadca",Raková,Raková,"Realitná kancelária",Bratislava
Ju6KRY_ibJj,rent,"3-room apartment","okres Ružomberok",Ružomberok,Polík,NULL,NULL
JuuS6FA8WTM,rent,"1-room apartment","okres Čadca",Čadca,Žarec,"JPE. Reality - Jozef Pajer",Čadca
JuGqA0i3EO8,sale,"3-room apartment","okres Žilina",Žilina,"Staré mesto","DreamReality s.r.o.",Žilina
JuFxU-EPo7k,sale,"3-room apartment","okres Liptovský Mikuláš","Liptovská Porúbka","Liptovská Porúbka","HALO reality, s.r.o.",Prievidza
JuJDcaBGFgv,sale,"3-room apartment","okres Čadca",Čadca,Škrabákovci,"Realitné kancelárie SR",Bratislava
JuwDKSHdYOM,rent,"3-room apartment","okres Čadca",Čadca,Centrum,"SLNOVRAT, s.r.o.",Olešná
JuKE1haIfBQ,rent,"1-room apartment","okres Žilina",Žilina,"Staré mesto",NULL,NULL
Juf3UQk266Q,sale,"1-room apartment","okres Martin",Sučany,Sučany,"Constario REALTY s.r.o.",Žilina
JuiUg7kx_Xo,sale,"4-room apartment","okres Kysucké Nové Mesto","Kysucké Nové Mesto",Kamence,"Istrofinal, s. r. o.",Žilina
JuX_Y10XQMs,sale,"holiday apartment","okres Liptovský Mikuláš","Demänovská Dolina","Demänovská Dolina","Juraj Hegyi Reality & Development s.r.o.",Bratislava
JuhdlIDH7jm,sale,"1-room apartment","okres Martin",Martin,Podháj,"Piata Avenue",Žilina
JukH94BLOrl,rent,"1-room apartment","okres Martin",Turany,Turany,"Like Reality s.r.o.","Považská Bystrica"
JuiXegD6ESI,sale,"3-room apartment","okres Dolný Kubín","Dolný Kubín","Veľký Bysterec","AstonReal s.r.o.","Banská Bystrica"
Ju-U6VvTf4d,sale,"3-room apartment","okres Martin",Martin,Stred,"B10 Slovensko, a. s.",Žilina
Ju_P4weQ1yi,rent,"3-room apartment","okres Liptovský Mikuláš","Liptovský Mikuláš","Staré mesto","RESIDENCE realitná kancelária","Liptovský Mikuláš"
Ju4jUNHrCaa,rent,"2-room apartment","okres Žilina",Žilina,Hliny,"EASY centrum bývania, s.r.o.",Žilina
JuRDmAO0N5y,sale,"2-room apartment","okres Ružomberok",Ružomberok,Roveň,"ODEKO manažment s.r.o.",Žilina
JuOLPMJrkFk,sale,"3-room apartment","okres Žilina",Žilina,"Staré mesto","TUreality s.r.o.",Žilina
JueFBhJMkEL,rent,"studio apartment","okres Čadca",Čadca,Žarec,"KUBALA REALITY, s.r.o.",Čadca
JuiowNIBmX1,rent,"3-room apartment","okres Čadca",Čadca,Kyčerka,NULL,NULL
Ju1swh97q_w,sale,"2-room apartment","okres Liptovský Mikuláš","Liptovský Ján","Liptovský Ján","RE/MAX Slovakia",Bratislava
JuJjSbvP3y1,sale,"2-room apartment","okres Kysucké Nové Mesto","Kysucké Nové Mesto",Kamence,"Istrofinal, s. r. o.",Žilina
JueVg_uFAEX,sale,"3-room apartment","okres Martin",Martin,Záturčie,"Like Reality s.r.o.","Považská Bystrica"
JubLUnnldKg,sale,"2-room apartment","okres Martin",Martin,Ľadoveň,"B10 Slovensko, a. s.",Žilina
JuNlpRocmfd,sale,"3-room apartment","okres Martin",Martin,Stred,"Reality Turiec s.r o.",Martin
JujxzbLeFDf,sale,"2-room apartment","okres Žilina","Rajecké Teplice","Rajecké Teplice","STAREA, s. r. o.",Žilina
Jut2p_8fnwk,sale,"3-room apartment","okres Ružomberok",Ružomberok,Klačno,"AstonReal s.r.o.","Banská Bystrica"
JuZUmgJDVA2,sale,"4-room apartment","okres Ružomberok",Ružomberok,"Staré mesto",NULL,NULL
JuIVoMRmHSz,sale,"1-room apartment","okres Martin",Turany,Turany,"TUreality s.r.o.",Žilina
Ju7NnD-cxZu,sale,"4-room apartment","okres Ružomberok",Ružomberok,Klačno,"OVERENÉ REALITY","Banská Bystrica"
JuLyRXzb7sF,sale,"holiday apartment","okres Ružomberok",Bešeňová,Bešeňová,"Reality Alpia",Martin
JuFzCj_c-LQ,sale,"2-room apartment","okres Žilina",Žilina,"Staré mesto","MENS s. r. o.",Žilina
JuuDv2Zd85o,sale,"3-room apartment","okres Žilina",Žilina,Bôrik,"TUreality s.r.o.",Žilina
Ju5JJVitOH3,sale,"3-room apartment","okres Tvrdošín",Trstená,Trstená,"RK SPIRIT s.r.o.","Liptovský Mikuláš"
Jue8OEdDtFX,sale,"2-room apartment","okres Ružomberok",Ružomberok,Baničné,"ODEKO manažment s.r.o.",Žilina
JusujBj0j9H,rent,"3-room apartment","okres Žilina",Žilina,Vlčince,NULL,NULL
JuwJKqBh04b,sale,"2-room apartment","okres Liptovský Mikuláš","Liptovský Mikuláš","Staré mesto","AstonReal s.r.o.","Banská Bystrica"
JuMDiaehTE4,sale,"holiday apartment","okres Liptovský Mikuláš","Demänovská Dolina","Demänovská Dolina",NULL,NULL
JuGTmonCdFp,sale,"2-room apartment","okres Liptovský Mikuláš","Liptovský Mikuláš","Staré mesto","Realitné kancelárie SR",Bratislava
JucNmI_DO7B,sale,"holiday apartment","okres Čadca",Oščadnica,Oščadnica,"NIKO-REAL, s.r.o.",Bratislava
JultM3IWcXG,sale,"2-room apartment","okres Liptovský Mikuláš","Liptovský Peter","Liptovský Peter","REINVEST s.r.o.",Bratislava
JuZGQrt1Ff6m,sale,"2-room apartment","okres Liptovský Mikuláš","Liptovský Mikuláš",Iľanovo,"NajBývanie, s.r.o.",Ružomberok
Juwy9k5pZPS,sale,"holiday apartment","okres Martin",Valča,Valča,"Realitné kancelárie SR",Bratislava
Jux-AEYjDab,sale,"2-room apartment","okres Žilina",Žilina,Solinky,NULL,NULL
JuuQ3yxLaqS,sale,"2-room apartment","okres Ružomberok","Liptovská Teplá","Liptovská Teplá","AstonReal s.r.o.","Banská Bystrica"
JuXUHfW6DDJ,sale,"2-room apartment","okres Liptovský Mikuláš","Liptovský Hrádok",Prekážka,"HALO reality, s.r.o.",Prievidza
Jup1HeEGFtW,sale,"1-room apartment","okres Žilina",Žilina,Hájik,"ODEKO manažment s.r.o.",Žilina
JuCX2-0gKW3,sale,"4-room apartment","okres Liptovský Mikuláš","Liptovský Mikuláš",Demänová,"RK SPIRIT s.r.o.","Liptovský Mikuláš"
Ju1sYuOumZf,rent,"3-room apartment","okres Ružomberok",Ružomberok,Klačno,NULL,NULL
JuAtADtbyIN,sale,"3-room apartment","okres Žilina",Žilina,Budatín,"B10 Slovensko, a. s.",Žilina
JupXiFdQKs1,rent,"3-room apartment","okres Žilina",Žilina,Solinky,"PRIVAT Reality spol.s.r.o",Bratislava
Jux885vgQgO,sale,"holiday apartment","okres Liptovský Mikuláš","Liptovský Trnovec","Liptovský Trnovec","Tatra Invest",Podtureň
JuIZkq9C4-v,sale,"2-room apartment","okres Martin",Martin,Jahodníky,"CANGURU s.r.o.","Rajecké Teplice"
Jus-du7SK4F,sale,"3-room apartment","okres Žilina",Žilina,Bytčica,"Realitná kancelária RED, s.r.o.",Žilina
JuqmAmZk9jG,sale,"1-room apartment","okres Žilina",Žilina,Vlčince,"MGM reality",Žilina
JuJF4572cY0,sale,"2-room apartment","okres Martin",Martin,Sever,"Reality Center, s.r.o.",Martin
JufKPFE3Y2M,sale,"2-room apartment","okres Ružomberok","Liptovská Lúžna","Liptovská Lúžna","Obec Liptovská Lúžna","Liptovská Lúžna"
JuQPXllO6ks,sale,"2-room apartment","okres Žilina",Žilina,Hájik,"ODEKO manažment s.r.o.",Žilina
JuFnOWI1i1c,sale,"3-room apartment","okres Turčianske Teplice",Jazernica,Jazernica,"Reality AK, spol. s r.o.",Martin
JufGDO__GbO,sale,"4-room apartment","okres Žilina",Žilina,"Staré mesto","KORSO Project, s.r.o.",Žilina
Jut7GOvY7Cs,rent,"3-room apartment","okres Námestovo","Oravské Veselé","Oravské Veselé","OREA, s.r.o.","Dolný Kubín"
JuUusk-Q8GE,sale,"2-room apartment","okres Žilina",Žilina,Bytčica,"Realitná kancelária RED, s.r.o.",Žilina
JuucDO18CeY,rent,"3-room apartment","okres Žilina",Žilina,Bôrik,NULL,NULL
JuBD3ecZzdA,sale,"2-room apartment","okres Žilina",Žilina,Závodie,"Realitná kancelária RED, s.r.o.",Žilina
Juga_SyTI4R,sale,"2-room apartment","okres Liptovský Mikuláš","Liptovský Mikuláš","Liptovská Mara - Tatralandia","RE/MAX Slovakia",Bratislava
Ju7kGUvVlwS,sale,"3-room apartment","okres Liptovský Mikuláš","Partizánska Ľupča","Partizánska Ľupča","OVERENÉ REALITY","Banská Bystrica"
JuCKdo4C-vu,sale,"3-room apartment","okres Žilina",Žilina,Vlčince,"Reinoo a.s.",Žilina
JuD_7kPVbjf,sale,"3-room apartment","okres Žilina",Žilina,"Staré mesto","Effecting s.r.o.",Bratislava
JuxM7Oxk3ZF,sale,"3-room apartment","okres Ružomberok","Liptovská Teplá","Liptovská Teplá","TUreality s.r.o.",Žilina
JujtAMfUep-,sale,"4-room apartment","okres Martin",Martin,Stred,NULL,NULL
JubYzTZOLz1,sale,"3-room apartment","okres Žilina","Rajecké Teplice","Rajecké Teplice","TUreality s.r.o.",Žilina
JuhBW328SAS,sale,"3-room apartment","okres Martin",Vrútky,"Horné Vrútky",NULL,NULL
JuOr71wM3AE,sale,"2-room apartment","okres Martin",Vrútky,"Horné Vrútky","B10 Slovensko, a. s.",Žilina
Juiqajk1kjr,sale,"2-room apartment","okres Liptovský Mikuláš","Malé Borové","Malé Borové",NULL,NULL
Ju_N2iy5JWS,rent,"studio apartment","okres Martin",Necpaly,Necpaly,"Reality ASTORIA, s.r.o.",Martin
JuYWFp89fWK,sale,"3-room apartment","okres Martin",Martin,Sever,"Like Reality s.r.o.","Považská Bystrica"
JuVCZnRxN5m,sale,"4-room apartment","okres Liptovský Mikuláš","Liptovský Hrádok",Celiny,"RK SPIRIT s.r.o.","Liptovský Mikuláš"
JukxcpBCVX8,rent,"1-room apartment","okres Žilina",Žilina,Vlčince,NULL,NULL
Ju-cA70OjPb,sale,"2-room apartment","okres Liptovský Mikuláš","Liptovský Ján","Liptovský Ján","TUreality s.r.o.",Žilina
Junbds6mBD4,sale,"3-room apartment","okres Martin",Martin,Jahodníky,"CANGURU s.r.o.","Rajecké Teplice"
JuIhf4tExMf,sale,"3-room apartment","okres Martin",Vrútky,"Horné Vrútky","NajBývanie, s.r.o.",Ružomberok
JuupBH8LvJz,sale,"2-room apartment","okres Liptovský Mikuláš","Liptovský Mikuláš",Demänová,G-REAL,"Liptovský Mikuláš"
JuuqMAsXTsE,sale,"2-room apartment","okres Martin",Sučany,Sučany,"Constario REALTY s.r.o.",Žilina
JuqDuiRmYdZ,sale,"1-room apartment","okres Žilina",Žilina,Vlčince,NULL,NULL
Ju-fM3SCXjma,sale,"3-room apartment","okres Liptovský Mikuláš","Liptovský Mikuláš","Staré mesto",G-REAL,"Liptovský Mikuláš"
JuRhJZ24FBr,sale,"3-room apartment","okres Ružomberok",Ľubochňa,Ľubochňa,NULL,NULL
JuH66opZMTi,sale,"3-room apartment","okres Martin",Martin,Sever,"TUreality s.r.o.",Žilina
Jujvvp196-y,sale,"2-room apartment","okres Žilina",Žilina,"Staré mesto","TUreality s.r.o.",Žilina
JurBk73cOr3,sale,"holiday apartment","okres Liptovský Mikuláš","Demänovská Dolina","Demänovská Dolina","RESIDENCE realitná kancelária","Liptovský Mikuláš"
Ju42s8vNbRj,sale,"2-room apartment","okres Martin",Vrútky,NULL,"Real Reality Development s.r.o.",Martin
JuyD0Z9BTN-,rent,"2-room apartment","okres Bytča",Bytča,"Veľká Bytča","Fortio Popper s.r.o.",Bytča
Ju9LPOOoAn-,rent,"3-room apartment","okres Martin",Martin,Stred,"Financie a reality od A po Z",Martin
Ju1uEl1Mf6f,sale,"holiday apartment","okres Ružomberok",Ružomberok,Hrabovo,"Romantické Chalupy, s.r.o.",Bratislava
Juq3cdm2VSm,rent,"2-room apartment","okres Bytča",Bytča,"Veľká Bytča","Fortio Popper s.r.o.",Bytča
JuoeNbuLPVP,sale,"holiday apartment","okres Liptovský Mikuláš","Liptovský Mikuláš","Staré mesto","RK SPIRIT s.r.o.","Liptovský Mikuláš"
Ju7EPTNZ0Hy,sale,"3-room apartment","okres Martin",Turany,Turany,"Like Reality s.r.o.","Považská Bystrica"
JuR8QLXp0Yx,sale,"3-room apartment","okres Ružomberok",Ružomberok,Roveň,"Direct Real, spol. s r.o.",Bratislava
Ju_cu57wiSa,sale,"1-room apartment","okres Martin",Martin,Priekopa,"TUreality s.r.o.",Žilina
JuQKd8tqljP,sale,"3-room apartment","okres Martin",Martin,Záturčie,"LIF REAL",Martin
Jum7aZZZlIy,rent,"1-room apartment","okres Martin",Martin,Košúty,"Vianema s.r.o.",Bratislava
JujQYigyRBf,rent,"2-room apartment","okres Martin",Martin,Sever,"Reality ASTORIA, s.r.o.",Martin
Ju6nNzmPk_9,rent,"2-room apartment","okres Bytča",Bytča,"Veľká Bytča","Fortio Popper s.r.o.",Bytča
JuVihEbzRbP,sale,"holiday apartment","okres Ružomberok",Ružomberok,Hrabovo,NULL,NULL
Ju6oJmE8oWf,rent,"2-room apartment","okres Čadca",Čadca,Centrum,"SLNOVRAT, s.r.o.",Olešná
JuKUZKmUiwu,sale,"4-room apartment","okres Martin",Sučany,Sučany,"Constario REALTY s.r.o.",Žilina
JunzJsFHg6A,sale,"4-room apartment","okres Čadca",Čadca,Centrum,"BeMi realitná kancelária",Nitra
JuyxsUVgHii,sale,"4-room apartment","okres Dolný Kubín","Dolný Kubín",Brezovec,"RK Dalmia s. r. o.","Dolný Kubín"
JuLIL3RkWDn,sale,"3-room apartment","okres Martin",Martin,Priekopa,"ALT REAL, s.r.o.",Martin
JuUPsPRqomX,sale,"1-room apartment","okres Námestovo",Námestovo,Brehy,"BeMi realitná kancelária",Nitra
JuXmK-edCSR,rent,"3-room apartment","okres Bytča",Bytča,"Veľká Bytča","Fortio Popper s.r.o.",Bytča
JuURItmx0gz,rent,"2-room apartment","okres Žilina",Terchová,Terchová,"WFG reality, s.r.o.",Žilina
Ju3ft9crnfA,sale,"3-room apartment","okres Dolný Kubín","Dolný Kubín","Veľký Bysterec","TUreality s.r.o.",Žilina
JuUveEvLKHX,sale,"studio apartment","okres Martin",Vrútky,NULL,"FINREA - ak vám záleží na výsledku","Dolný Kubín"
JuBNi2HSNwg,rent,"3-room apartment","okres Martin",Martin,Ľadoveň,"FINREA - ak vám záleží na výsledku","Dolný Kubín"
Ju9HXOkK5Vc,sale,"2-room apartment","okres Čadca","Krásno nad Kysucou",Kalinov,"MGM reality",Žilina
JuWN3KhPvB7,sale,"2-room apartment","okres Čadca",Čadca,Centrum,"Safe reality s. r. o.",Žilina
JuJGytVBKhB,rent,"2-room apartment","okres Martin",Martin,Podháj,"Like Reality s.r.o.","Považská Bystrica"
JunoLrzCTv8,sale,"3-room apartment","okres Čadca",Raková,Raková,"MGM reality",Žilina
JuxK_a_NiWB,sale,"2-room apartment","okres Ružomberok",Ružomberok,Roveň,"NajBývanie, s.r.o.",Ružomberok
JuvOboUvobu,sale,"3-room apartment","okres Liptovský Mikuláš","Malé Borové","Malé Borové",NULL,NULL
Ju5YBv9ykGI,sale,"4-room apartment","okres Kysucké Nové Mesto","Kysucké Nové Mesto",Kamence,"Istrofinal, s. r. o.",Žilina
JuUwCeqXqPl,sale,"3-room apartment","okres Martin",Martin,Jahodníky,"Buby reality, s.r.o.",Žilina
JuaIL0ybcDR,rent,"3-room apartment","okres Žilina",Žilina,"Staré mesto","1. Reality Rent, s.r.o.",Žilina
JuHMn6qkBSk,sale,"holiday apartment","okres Liptovský Mikuláš","Demänovská Dolina","Demänovská Dolina","RESIDENCE realitná kancelária","Liptovský Mikuláš"
JubGyQoKm-F,rent,"2-room apartment","okres Kysucké Nové Mesto","Kysucké Nové Mesto",Nábrežie,NULL,NULL
JuZFqxjae7G,sale,"holiday apartment","okres Liptovský Mikuláš","Liptovský Mikuláš",Demänová,"ML realitný& finančny servis s.r.o. , BrokerSoft s.r.o. , Monika Launerová - SZČO","Banská Bystrica"
JueQ0ot5J2r,sale,"3-room apartment","okres Čadca",Čadca,Žarec,"RIEŠIME BÝVANIE",Bratislava
Ju-sWIMoFGT,sale,"1-room apartment","okres Námestovo",Námestovo,Stred,"BeMi realitná kancelária",Nitra
JuMlNRioczT,rent,"3-room apartment","okres Liptovský Mikuláš","Liptovský Mikuláš","Staré mesto","RESIDENCE realitná kancelária","Liptovský Mikuláš"
Ju7yQFu2G0Z,sale,"3-room apartment","okres Martin",Vrútky,"Horné Vrútky","Realitná kancelária",Bratislava
JudVZxPODEn,sale,"3-room apartment","okres Žilina",Žilina,Solinky,"Realitná kancelária RED, s.r.o.",Žilina
JuNPxF24aaA,sale,"4-room apartment","okres Žilina",Žilina,Vlčince,"Realitná kancelária RED, s.r.o.",Žilina
Juy6Dr8MOeS,sale,"4-room apartment","okres Žilina",Žilina,Vlčince,NULL,NULL
Ju4RLACJEuN,sale,"4-room apartment","okres Žilina",Žilina,Bôrik,"MGM reality",Žilina
JuIQ6bOnZsGz,sale,"3-room apartment","okres Žilina",Žilina,"Staré mesto","Realitná kancelária RED, s.r.o.",Žilina
JuIZo2BnWQa,sale,"holiday apartment","okres Liptovský Mikuláš","Demänovská Dolina","Demänovská Dolina","RESIDENCE realitná kancelária","Liptovský Mikuláš"
JusjmbO9Bnp,sale,"2-room apartment","okres Žilina",Gbeľany,Gbeľany,"AnReal s. r. o.",Mojš
Ju3_oCKPJ8H,sale,"3-room apartment","okres Liptovský Mikuláš","Liptovský Peter","Liptovský Peter","OVERENÉ REALITY","Banská Bystrica"
JuKy-dL9Ryo,rent,"2-room apartment","okres Žilina",Žilina,Vlčince,"WFG reality, s.r.o.",Žilina
JuR0t0CZHt8,rent,"2-room apartment","okres Liptovský Mikuláš","Liptovský Mikuláš","Staré mesto","Loviu, s.r.o.","Liptovský Mikuláš"
JuhcvPxM513,sale,"4-room apartment","okres Námestovo",Námestovo,NULL,"TUreality s.r.o.",Žilina
JunH7oZsc9z,sale,"1-room apartment","okres Žilina",Žilina,Vlčince,"HMS Services, a. s.",Žilina
JuyBFHxJEo2F,rent,"2-room apartment","okres Čadca",Čadca,Centrum,"B10 Slovensko, a. s.",Žilina
JuUknu_3A4k,sale,"2-room apartment","okres Žilina",Žilina,"Staré mesto",NULL,NULL
Ju7faBpvibU,sale,"3-room apartment","okres Martin",Martin,Záturčie,"Realitná kancelária",Bratislava
JuUS8gVE7MB,sale,"2-room apartment","okres Čadca",Čadca,Žarec,"JPE. Reality - Jozef Pajer",Čadca
JuS8GjjsXwr,sale,"holiday apartment","okres Martin",Valča,Valča,"RIGHT POWER DEVELOPMENT, s.r.o.",Žilina
JuLlR3SdY11,sale,"2-room apartment","okres Ružomberok","Liptovská Lúžna","Liptovská Lúžna","Obec Liptovská Lúžna","Liptovská Lúžna"
Ju3xvc6aD2Y,sale,"holiday apartment","okres Liptovský Mikuláš","Liptovský Ján","Liptovský Ján","RESIDENCE realitná kancelária","Liptovský Mikuláš"
Jus0-bkZHge,rent,"3-room apartment","okres Martin",Martin,Ľadoveň,"Realitná kancelária",Bratislava
Jul8pXByFOl,sale,"3-room apartment","okres Žilina",Žilina,Vlčince,NULL,NULL
JuEK28Decyb,sale,"2-room apartment","okres Žilina",Žilina,"Staré mesto","WFG reality, s.r.o.",Žilina
JujBEFh3fPq,sale,"3-room apartment","okres Martin",Martin,Priekopa,"Like Reality s.r.o.","Považská Bystrica"
Jubh8FOR_C9,rent,"studio apartment","okres Martin",Martin,Sever,NULL,NULL
Jultmw18Gne,sale,"holiday apartment","okres Liptovský Mikuláš","Demänovská Dolina","Demänovská Dolina","Occam New Home",Bratislava
JuDmcjiRx8S,sale,"4-room apartment","okres Žilina",Žilina,Solinky,"ACTIVE - Reality, s. r. o.",Žilina
Junnm3hR6W5,sale,"2-room apartment","okres Martin",Martin,Priekopa,"Reality Alpia",Martin
JurzQ4OXOH_,rent,"studio apartment","okres Žilina",Žilina,Hliny,"Reality Alpia",Martin
Ju88ayVM-YP5,rent,"4-room apartment","okres Turčianske Teplice","Turčianske Teplice",Diviaky,"OVERENÉ REALITY","Banská Bystrica"
Jui1Zkf_kg-,sale,"1-room apartment","okres Čadca",Čadca,Centrum,"1. Reality Rent, s.r.o.",Žilina
Jun79Tn_Ep0,sale,"3-room apartment","okres Žilina",Žilina,Vlčince,"KRALIKOVA reality","Považská Bystrica"
JuR1WqY3g_N,sale,"2-room apartment","okres Žilina",Žilina,Hliny,"Georgi Conev",Žilina
JuITWn48g9Q,sale,"1-room apartment","okres Martin","Turčianska Štiavnička","Turčianska Štiavnička","LuxReality, s.r.o.","Nové Mesto nad Váhom"
JuiQqoYVioM,sale,"2-room apartment","okres Liptovský Mikuláš",Ľubeľa,Ľubeľa,G-REAL,"Liptovský Mikuláš"
JuE40RXyw1_,sale,"2-room apartment","okres Žilina",Žilina,Hájik,"Realitná kancelária RED, s.r.o.",Žilina
JuvTw1ebtHj,sale,"2-room apartment","okres Kysucké Nové Mesto","Kysucké Nové Mesto",Kamence,"Istrofinal, s. r. o.",Žilina
Ju27eP_ig4Z,rent,"2-room apartment","okres Žilina",Žilina,Hliny,"Safe reality s. r. o.",Žilina
JuwdgQhbLJx,sale,"3-room apartment","okres Martin",Martin,Košúty,"Realitná kancelária",Bratislava
JuYwrDdapt0,sale,"3-room apartment","okres Čadca",Čadca,"U Hluška","Trioreality, s.r.o.",Čadca
JuQhVUDoHMr,sale,"2-room apartment","okres Martin",Martin,Sever,"Felicita Real s. r. o.",Martin
JuzIKTQ0UvK,sale,"4-room apartment","okres Liptovský Mikuláš","Liptovský Hrádok",Belánska,"HALO reality, s.r.o.",Prievidza
JuTnsSFnlFI,sale,"3-room apartment","okres Martin",Martin,Sever,"B10 Slovensko, a. s.",Žilina
JuY5BHrBXS_,rent,"4-room apartment","okres Martin",Martin,Košúty,"AstonReal s.r.o.","Banská Bystrica"
JuDGw-se-Mg,rent,"1-room apartment","okres Kysucké Nové Mesto","Kysucké Nové Mesto",Sídlisko,"Safe reality s. r. o.",Žilina
JuOMOLcEq4z,sale,"3-room apartment","okres Čadca",Čadca,Kyčerka,"SLNOVRAT, s.r.o.",Olešná
JuQ4Jf_xqij,rent,"2-room apartment","okres Kysucké Nové Mesto","Kysucké Nové Mesto",Sídlisko,"BeMi realitná kancelária",Nitra
Ju8GQ26KaaT,sale,"2-room apartment","okres Ružomberok",Ružomberok,Roveň,"RK SPIRIT s.r.o.","Liptovský Mikuláš"
JuCMZI1bT6r,sale,"3-room apartment","okres Martin",Martin,NULL,"RS Mansory s.r.o.",Bratislava
Ju9csMkjbyN,rent,"3-room apartment","okres Martin",Martin,Ľadoveň,"B10 Slovensko, a. s.",Žilina
JuXGzvpMBBm,sale,"2-room apartment","okres Liptovský Mikuláš","Liptovský Mikuláš","Vrbica - Nábrežie","HALO reality, s.r.o.",Prievidza
Ju52lG6Waej,sale,"studio apartment","okres Žilina",Žilina,Vlčince,"RIEŠIME BÝVANIE",Bratislava
JuTQd4u0n33,sale,"2-room apartment","okres Liptovský Mikuláš","Liptovský Mikuláš",Demänová,"RK SPIRIT s.r.o.","Liptovský Mikuláš"
JuwMlHIuC26,rent,"2-room apartment","okres Martin","Turčianska Štiavnička","Turčianska Štiavnička","LEVEL REAL, s.r.o.",Trnava
Juuarx0CWmR,sale,"2-room apartment","okres Turčianske Teplice","Turčianske Teplice",Stred,"Estate Invest",Bratislava
Juh7IlKkDn_,sale,"4-room apartment","okres Liptovský Mikuláš","Liptovský Hrádok",Belánska,"Direct Real, spol. s r.o.",Bratislava
JuN8mAtD42x,rent,"3-room apartment","okres Čadca",Klubina,Klubina,"Trioreality, s.r.o.",Čadca
JujdOeJ69tb,sale,"3-room apartment","okres Martin",Martin,Jahodníky,"Realitná kancelária",Bratislava
Jun8HaIrjPB,rent,"3-room apartment","okres Dolný Kubín","Dolný Kubín","Veľký Bysterec","OREA, s.r.o.","Dolný Kubín"
JuuKYbAy2In,sale,"3-room apartment","okres Martin",Martin,Ľadoveň,"B10 Slovensko, a. s.",Žilina
JuZ6EDDylkC,rent,"3-room apartment","okres Žilina",Žilina,"Staré mesto",NULL,NULL
JuuQTLwI4_c,sale,"1-room apartment","okres Žilina",Žilina,"Staré mesto","WFG reality, s.r.o.",Žilina
JuKXwWNmxYg,sale,"2-room apartment","okres Žilina",Žilina,Hájik,"DRR INVEST, s. r. o.","Horný Hričov"
JutKizwTOP3,sale,"3-room apartment","okres Žilina",Žilina,"Staré mesto","Reality IQ, s.r.o.",Žilina
Juki5wHUVn2,sale,"4-room apartment","okres Liptovský Mikuláš","Liptovský Mikuláš","Liptovská Ondrašová","Bosen Group s.r.o.",Bratislava
Ju_PmXVPtoo,sale,"2-room apartment","okres Žilina",Žilina,Hliny,"Crystin reality, s.r.o.",Žilina
JuaWfCrgS3s,sale,"4-room apartment","okres Kysucké Nové Mesto","Kysucké Nové Mesto",Kamence,"Istrofinal, s. r. o.",Žilina
Ju1cdYuex4G,sale,"3-room apartment","okres Dolný Kubín","Dolný Kubín",Stred,"RE/MAX Slovakia",Bratislava
Ju6cRlkmMC_,rent,"1-room apartment","okres Dolný Kubín",Istebné,Istebné,"FINREA - ak vám záleží na výsledku","Dolný Kubín"
